Index,MICdate,Fatality_Min,Fatality_Max,Countries_Involved,Initiator_Country,Target_Country
article_1699.txt,2008-02-02,0,0,"Chad, Rebels",,
article_17.txt,2008-06-17,0,0,"Afghanistan, Canada, NATO",Afghanistan,Taliban
article_1700.txt,2008-02-02,0,0,"Chad, Libya",,
article_1701.txt,2008-02-02,0,0,"Chad, Rebels",,
article_171.txt,2008-10-12,67,67,"Afghanistan, NATO",,Taliban
article_1728.txt,2008-12-08,0,0,"China, Japan",China,Japan
article_1735.txt,2008-12-17,0,0,"China, Somalia",,
article_1740.txt,2008-09-02,10,10,"Pakistan, China",Pakistan,
article_1741.txt,2008-10-18,60,60,"Pakistan, China",Pakistan,
article_1748.txt,2008-05-27,0,0,"North Korea, China, South Korea",North Korea,South Korea
article_1749.txt,2008-05-27,0,0,"North Korea, China, South Korea",North Korea,South Korea
article_1755.txt,2008-09-29,1,1,"China, North Korea",North Korea,China
article_1756.txt,2008-09-29,1,1,"China, North Korea",North Korea,China
article_1786.txt,2008-01-07,0,0,"China, Vietnam",Vietnam,China
article_1797.txt,2008-03-01,17,17,"Colombia, Ecuador",Colombia,Ecuador
article_1798.txt,2008-03-01,17,17,"Venezuela, Colombia, Ecuador",Colombia,Venezuela
article_1799.txt,2008-03-15,17,17,"Venezuela, Colombia, Ecuador",Colombia,Venezuela
article_1802.txt,2008-03-03,15,15,"Ecuador, Colombia, Venezuela",Colombia,Ecuador
article_1803.txt,2008-03-03,15,15,"Venezuela, Ecuador, Colombia",Colombia,Ecuador
article_1804.txt,2008-03-03,17,17,"Venezuela, Ecuador, Colombia",Colombia,"Venezuela, Ecuador"
article_1805.txt,2008-03-03,17,17,"Venezuela, Ecuador, Colombia",Colombia,"Venezuela, Ecuador"
article_1806.txt,2008-03-03,17,17,"Ecuador, Colombia",Colombia,Ecuador
article_1807.txt,2008-03-03,0,0,"Ecuador, Colombia",Colombia,Ecuador
article_1808.txt,2008-03-03,1,1,"Ecuador, Colombia",Colombia,Ecuador
article_1809.txt,2008-03-03,17,17,"Venezuela, Ecuador, Colombia",Colombia,Venezuela and Ecuador
article_1810.txt,2008-03-03,1,1,"Colombia, Ecuador",Colombia,Ecuador
article_1813.txt,2008-03-04,1,1,"Colombia, Ecuador",Colombia,Ecuador
article_1815.txt,2008-03-04,1,1,"Ecuador, Colombia",Colombia,Ecuador
article_1816.txt,2008-03-05,1,1,"Colombia, Ecuador, Venezuela",Colombia,Ecuador
article_1818.txt,2008-03-05,1,1,"Colombia, Ecuador",Colombia,Ecuador
article_1819.txt,2008-03-05,17,17,"Ecuador, Colombia",Colombia,Ecuador
article_1821.txt,2008-03-11,25,25,"Colombia, Ecuador",Colombia,Ecuador
article_1824.txt,2008-03-23,25,25,"Colombia, Ecuador",Colombia,Ecuador
article_1825.txt,2008-03-26,25,25,"Colombia, Ecuador",Colombia,Ecuador
article_1828.txt,2008-04-14,21,21,"Ecuador, Colombia",Ecuador,Colombia
article_1830.txt,2008-05-07,3,3,"Ecuador, Colombia",Colombia,Ecuador
article_1850.txt,2008-03-03,1,1,"Ecuador, Venezuela, Colombia",Colombia,Ecuador
article_1851.txt,2008-03-04,0,0,"Venezuela, Colombia",Venezuela,Colombia
article_1854.txt,2008-03-05,24,24,"Venezuela, Colombia",Colombia,Venezuela
article_1855.txt,2008-03-05,0,0,"Venezuela, Colombia",Venezuela,Colombia
article_1856.txt,2008-03-05,24,24,"Venezuela, Colombia",Colombia,Venezuela
article_1858.txt,2008-03-06,0,0,"Venezuela, Colombia, Ecuador",Colombia,Ecuador
article_1859.txt,2008-03-06,0,0,"Venezuela, Colombia",Venezuela,Colombia
article_1877.txt,2008-03-25,0,0,"Comoros, Anjouan",Comoros federal army backed by African Union troops,Anjouan
article_1878.txt,2008-03-25,0,0,"Comoros, Union of Comoros, AU (African Union)",Comoros,Anjouan
article_1881.txt,2008-03-25,0,0,"Comoros, Anjouan",Comoros,Anjouan
article_1882.txt,2008-03-11,0,0,"Comoros, Tanzania, Senegal, Libya, United States, France",,Anjouan
article_1884.txt,2008-03-14,0,0,"Tanzania, Senegal, Libya, Sudan, Comoros, France, United States",,Anjouan
article_1885.txt,2008-03-26,5,5,"Comoros, African Union",Comoros,Anjouan
article_1888.txt,2008-03-26,0,0,"Comoros, African Union",Comoros,Anjouan
article_1889.txt,2008-03-11,0,0,"Senegal, Comoros, Libya, Sudan, Tanzania",,Comoros
article_1891.txt,2008-03-16,0,0,"Sudan, Comoros",Sudan,Comoros
article_1893.txt,2008-03-19,0,0,"Comoros, Tanzania, Sudan, Senegal",,Anjouan
article_1896.txt,2008-03-25,0,0,"Comoros, African Union",,
article_1899.txt,2008-03-14,0,0,"Comoros, Union of Comoros, AU (African Union), Tanzania, Senegal, Sudan, Libya",AU (African Union),Anjouan
article_1903.txt,2008-03-22,0,0,"Comoros, Sudan, Tanzania, African Union",,Anjouan
article_1904.txt,2008-03-24,0,0,"Comoros, Anjouan",Comoros,Anjouan
article_1905.txt,2008-03-24,0,0,"Comoros, Tanzania, Sudan",Comoros,Anjouan
article_1906.txt,2008-03-24,0,0,"Comoros, African Union",,Anjouan
article_1907.txt,2008-03-25,0,0,"Comoros, African Union",,Comoros
article_1908.txt,2008-03-25,0,0,"Comoros, Tanzania, African Union",,Anjouan
article_1909.txt,2008-03-25,0,0,"AU (African Union), Comoros",AU (African Union),Comoros
article_1916.txt,2008-11-06,0,0,"Congo (Democratic Republic of the Congo), Rebels led by Laurent Nkunda",,
article_1920.txt,2008-11-06,0,0,"Democratic Republic of Congo, Rwanda",Rebels loyal to ethnic Tutsi renegade general Laurent Nkunda,Pro-government Mai Mai militia and Congolese army troops
article_1927.txt,2008-08-31,0,0,"Congo, Uganda, Rwanda",,
article_1928.txt,2008-09-09,9,9,"Congo, Rebels loyal to a dissident warlord (led by Laurent Nkunda)",,
article_1929.txt,2008-09-24,0,0,"Congo, Rebel fighters loyal to Laurent Nkunda",,
article_1931.txt,2008-10-30,0,0,"Rwanda, Democratic Republic of Congo",,
article_1933.txt,2008-12-22,0,0,"Democratic Republic of Congo, Rebels (CNDP), Government troops",,
article_1970.txt,2008-06-02,0,0,"Cyprus, Greece, France",,
article_1971.txt,2008-06-02,0,0,"Cyprus, Greece, France",,
article_1977.txt,2008-11-19,0,0,"Cyprus, Turkey",,Cyprus
article_1988.txt,2008-10-01,0,0,Czech Republic,,
article_2009.txt,2008-10-20,0,0,"Denmark, Taleban",,Denmark
article_2018.txt,2008-04-21,0,0,"Eritrea, Djibouti",Eritrea,Djibouti
article_2020.txt,2008-04-26,0,0,"Djibouti, Eritrea",,
article_2023.txt,2008-05-09,0,0,"Djibouti, Eritrea",,
article_2024.txt,2008-06-11,0,0,"Djibouti, Eritrea",Eritrea,Djibouti
article_2025.txt,2008-06-12,6,6,"Djibouti, Eritrea",Eritrea,Djibouti
article_2026.txt,2008-06-10,2,2,"Eritrea, Djibouti",Eritrea,Djibouti
article_2027.txt,2008-06-12,6,6,"Djibouti, Eritrea",Eritrea,Djibouti
article_2028.txt,2008-06-12,6,6,"Djibouti, Eritrea",Eritrea,Djibouti
article_2030.txt,2008-06-13,0,0,"Djibouti, Eritrea",Eritrea,Djibouti
article_2031.txt,2008-06-13,6,6,"Djibouti, Eritrea",Eritrea,Djibouti
article_2032.txt,2008-06-15,800,800,"Djibouti, Eritrea",Eritrea,Djibouti
article_2033.txt,2008-06-16,0,0,"Djibouti, Eritrea",Eritrea,Djibouti
article_2034.txt,2008-06-17,5,5,"Djibouti, Eritrea",,
article_2036.txt,2008-06-13,0,0,"Djibouti, Eritrea, France",,
